Chidamber-Kemerer metrics,Sun, 4 Dec 2022 00:22:17 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
biz.ganttproject.core.chart.grid.OffsetLookup.ComparatorByPixels,3,1,1,0,4,4
biz.ganttproject.core.chart.grid.OffsetLookup.ComparatorByStartDate,3,1,1,0,4,1
biz.ganttproject.core.chart.grid.OffsetManager,5,1,1,0,16,15
biz.ganttproject.core.chart.grid.OffsetManager.OffsetBuilderFactory,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.chart.render.AlphaRenderingOption,5,3,1,0,10,7
biz.ganttproject.core.chart.render.LineRenderer,7,1,1,0,23,6
biz.ganttproject.core.chart.render.PolygonRenderer,5,1,1,0,14,5
biz.ganttproject.core.chart.render.RectangleRenderer,10,1,1,0,41,13
biz.ganttproject.core.chart.render.ShapeConstants,2,1,0,0,1,0
biz.ganttproject.core.chart.render.ShapePaint,5,2,4,0,22,23
biz.ganttproject.core.chart.render.Style,15,1,7,0,41,38
biz.ganttproject.core.chart.render.Style.BackgroundImage,2,1,2,0,14,12
biz.ganttproject.core.chart.render.Style.Border,6,1,3,0,9,8
biz.ganttproject.core.chart.render.Style.Borders,5,1,1,0,12,10
biz.ganttproject.core.chart.render.Style.Color,6,1,2,0,4,4
biz.ganttproject.core.chart.render.Style.Padding,3,1,2,0,16,11
biz.ganttproject.core.chart.render.Style.Visibility,3,n/a,2,n/a,2,0
biz.ganttproject.core.chart.render.TextLengthCalculatorImpl,3,1,1,0,18,9
biz.ganttproject.core.chart.render.TextLengthCalculatorImpl.State,1,1,0,0,6,4
biz.ganttproject.core.chart.render.TextPainter,14,1,1,0,52,23
biz.ganttproject.core.chart.scene.AbstractSceneBuilder,5,1,1,4,8,6
biz.ganttproject.core.chart.scene.BarChartActivity,n/a,n/a,n/a,n/a,4,n/a
biz.ganttproject.core.chart.scene.BarChartConnector,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.chart.scene.BottomUnitSceneBuilder,15,2,1,0,21,16
biz.ganttproject.core.chart.scene.BottomUnitSceneBuilder.InputApi,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.chart.scene.DayGridSceneBuilder,13,2,1,0,36,24
biz.ganttproject.core.chart.scene.DayGridSceneBuilder.InputApi,n/a,n/a,n/a,n/a,9,n/a
biz.ganttproject.core.chart.scene.SceneBuilder,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.chart.scene.TimelineSceneBuilder,16,2,1,0,29,14
biz.ganttproject.core.chart.scene.TimelineSceneBuilder.InputApi,n/a,n/a,n/a,n/a,9,n/a
biz.ganttproject.core.chart.scene.gantt.ChartBoundsAlgorithm,2,1,1,0,6,4
biz.ganttproject.core.chart.scene.gantt.ChartBoundsAlgorithm.Result,1,1,0,0,1,1
biz.ganttproject.core.chart.scene.gantt.Connector,2,1,3,0,4,4
biz.ganttproject.core.chart.scene.gantt.Connector.Vector,2,1,2,0,15,8
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder,11,1,1,0,41,24
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder.ChartApi,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder.TaskApi,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,14,1,1,0,49,24
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.ChartApi,n/a,n/a,n/a,n/a,7,n/a
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.Style,1,1,0,0,1,1
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.StyleApplier,6,1,1,0,12,8
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder.TaskApi,n/a,n/a,n/a,n/a,10,n/a
biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder,12,1,1,0,43,30
biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder.InputApi,n/a,n/a,n/a,n/a,5,n/a
biz.ganttproject.core.chart.scene.gantt.TaskLabelSceneBuilder.TaskApi,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.chart.text.CachingTextFormatter,11,1,2,5,14,7
biz.ganttproject.core.chart.text.DayTextFormatter,7,2,2,0,7,3
biz.ganttproject.core.chart.text.MonthTextFormatter,5,2,1,0,8,4
biz.ganttproject.core.chart.text.QuarterTextFormatter,5,2,1,0,6,2
biz.ganttproject.core.chart.text.TimeFormatter,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.chart.text.TimeFormatters,13,1,1,0,16,10
biz.ganttproject.core.chart.text.TimeFormatters.LocaleApi,n/a,n/a,n/a,n/a,4,n/a
biz.ganttproject.core.chart.text.TimeUnitText,13,1,1,0,10,9
biz.ganttproject.core.chart.text.TimeUnitText.Position,5,n/a,2,n/a,2,0
biz.ganttproject.core.chart.text.WeekTextFormatter,6,2,2,0,19,6
biz.ganttproject.core.chart.text.YearTextFormatter,5,2,1,0,7,2
biz.ganttproject.core.model.task.TaskDefaultColumn,4,n/a,6,n/a,22,17
biz.ganttproject.core.model.task.TaskDefaultColumn.Functions,1,1,0,0,0,2
biz.ganttproject.core.model.task.TaskDefaultColumn.LocaleApi,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.BooleanOption,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.core.option.ChangeValueEvent,3,1,4,0,6,6
biz.ganttproject.core.option.ChangeValueListener,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.option.ColorOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.ColorOption.Util,3,1,2,0,14,6
biz.ganttproject.core.option.DateOption,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.option.DefaultBooleanOption,2,2,2,4,15,8
biz.ganttproject.core.option.DefaultColorOption,3,2,2,5,10,6
biz.ganttproject.core.option.DefaultDateOption,4,2,2,6,11,5
biz.ganttproject.core.option.DefaultDoubleOption,2,2,2,2,9,5
