Chidamber-Kemerer metrics,Sun, 4 Dec 2022 00:22:17 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.action.edit.CutAction,6,3,1,0,12,7
net.sourceforge.ganttproject.action.edit.EditMenu,12,7,3,0,19,4
net.sourceforge.ganttproject.action.edit.PasteAction,17,3,1,0,37,14
net.sourceforge.ganttproject.action.edit.RedoAction,6,3,2,0,20,11
net.sourceforge.ganttproject.action.edit.RefreshViewAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.edit.SearchDialogAction,3,3,1,0,4,2
net.sourceforge.ganttproject.action.edit.SettingsDialogAction,8,3,1,0,6,3
net.sourceforge.ganttproject.action.edit.UndoAction,6,3,2,0,21,11
net.sourceforge.ganttproject.action.help.HelpMenu,9,1,1,0,8,2
net.sourceforge.ganttproject.action.help.HelpMenu.AboutAction,5,3,1,0,5,2
net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction,12,3,1,0,23,9
net.sourceforge.ganttproject.action.help.HelpMenu.ViewLogAction,4,3,1,0,4,2
net.sourceforge.ganttproject.action.project.CloudProjectActionBase,12,3,1,2,12,6
net.sourceforge.ganttproject.action.project.ExitAction,3,3,2,0,5,3
net.sourceforge.ganttproject.action.project.NewProjectAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction,8,3,1,0,11,5
net.sourceforge.ganttproject.action.project.OpenProjectAction,8,3,2,0,14,7
net.sourceforge.ganttproject.action.project.OpenURLAction,9,4,1,0,10,6
net.sourceforge.ganttproject.action.project.PrintAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.ProjectExportAction,6,3,2,0,7,4
net.sourceforge.ganttproject.action.project.ProjectImportAction,6,3,2,0,8,4
net.sourceforge.ganttproject.action.project.ProjectMenu,17,7,5,0,31,6
net.sourceforge.ganttproject.action.project.ProjectPreviewAction,7,3,2,0,13,5
net.sourceforge.ganttproject.action.project.ProjectPropertiesAction,8,3,2,0,10,5
net.sourceforge.ganttproject.action.project.SaveProjectAction,7,3,7,0,18,12
net.sourceforge.ganttproject.action.project.SaveProjectAsAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.SaveURLAction,8,4,1,0,10,5
net.sourceforge.ganttproject.action.resource.AssignmentDeleteAction,12,3,1,0,16,7
net.sourceforge.ganttproject.action.resource.ResourceAction,13,3,3,4,15,10
net.sourceforge.ganttproject.action.resource.ResourceActionSet,14,1,5,0,19,10
net.sourceforge.ganttproject.action.resource.ResourceDeleteAction,12,4,1,0,17,8
net.sourceforge.ganttproject.action.resource.ResourceImportAction,14,4,2,0,11,7
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction,6,3,2,0,16,7
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction,6,3,2,0,16,7
net.sourceforge.ganttproject.action.resource.ResourceNewAction,12,4,2,0,23,9
net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction,12,4,1,0,20,9
net.sourceforge.ganttproject.action.resource.ResourceSendMailAction,7,3,2,0,14,6
net.sourceforge.ganttproject.action.scroll.ScrollTimeIntervalAction,5,3,1,0,7,3
net.sourceforge.ganttproject.action.scroll.ScrollToEndAction,6,3,1,0,10,3
net.sourceforge.ganttproject.action.scroll.ScrollToSelectionAction,8,3,2,0,14,7
net.sourceforge.ganttproject.action.scroll.ScrollToStartAction,6,3,1,0,8,2
net.sourceforge.ganttproject.action.scroll.ScrollToTodayAction,4,3,1,0,5,2
net.sourceforge.ganttproject.action.task.IndentTargetFunctionFactory,4,1,1,0,2,4
net.sourceforge.ganttproject.action.task.OutdentTargetFunctionFactory,4,1,2,0,4,5
net.sourceforge.ganttproject.action.task.TaskActionBase,25,3,4,8,36,19
net.sourceforge.ganttproject.action.task.TaskDeleteAction,13,4,5,0,30,13
net.sourceforge.ganttproject.action.task.TaskIndentAction,17,4,4,0,29,12
net.sourceforge.ganttproject.action.task.TaskIndentAction.IndentApplyFxn,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.task.TaskLinkAction,13,4,4,0,24,12
net.sourceforge.ganttproject.action.task.TaskMoveDownAction,13,4,4,0,28,12
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicate,9,1,1,0,15,8
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicateTest,2,4,3,0,17,3
net.sourceforge.ganttproject.action.task.TaskMoveUpAction,13,4,4,0,28,12
net.sourceforge.ganttproject.action.task.TaskNewAction,13,3,2,0,18,12
net.sourceforge.ganttproject.action.task.TaskPropertiesAction,11,4,3,0,19,9
net.sourceforge.ganttproject.action.task.TaskUnindentAction,15,4,4,0,29,12
net.sourceforge.ganttproject.action.task.TaskUnindentAction.UnindentApplyFxn,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.task.TaskUnlinkAction,9,4,4,0,18,10
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction,7,3,2,0,20,11
net.sourceforge.ganttproject.action.view.ViewCycleAction,3,3,1,0,5,4
net.sourceforge.ganttproject.action.view.ViewMenu,9,7,0,0,13,3
net.sourceforge.ganttproject.action.view.ViewMenu.GPViewImpl,3,1,3,0,5,4
net.sourceforge.ganttproject.action.zoom.ZoomActionSet,9,1,2,0,6,3
net.sourceforge.ganttproject.action.zoom.ZoomInAction,5,3,2,0,9,5
net.sourceforge.ganttproject.action.zoom.ZoomOutAction,5,3,2,0,9,5
net.sourceforge.ganttproject.application.MainApplication,2,1,1,0,12,3
net.sourceforge.ganttproject.calendar.CalendarEditorPanel,13,1,1,0,68,27
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.ColorEditor,5,2,1,0,23,12
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.DateCellRendererImpl,1,1,1,0,7,4
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.FocusSetter,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.TableModelImpl,5,2,4,0,38,28
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.TableModelImpl.Column,3,n/a,5,n/a,10,4
net.sourceforge.ganttproject.calendar.GPCalendarProvider,8,1,2,0,32,12
net.sourceforge.ganttproject.calendar.GPCalendarProvider.CalendarTagHandler,3,2,2,0,9,3
net.sourceforge.ganttproject.chart.BackgroundRendererImpl,3,3,2,0,11,4
net.sourceforge.ganttproject.chart.Chart,n/a,n/a,n/a,n/a,17,n/a
net.sourceforge.ganttproject.chart.ChartModel,n/a,n/a,n/a,n/a,25,n/a
net.sourceforge.ganttproject.chart.ChartModelBase,37,1,5,2,146,109
net.sourceforge.ganttproject.chart.ChartModelBase.OptionEventDispatcher,3,1,1,0,2,1
net.sourceforge.ganttproject.chart.ChartModelBase.ScrollingSession,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.chart.ChartModelBase.ScrollingSessionImpl,2,1,1,0,18,9
net.sourceforge.ganttproject.chart.ChartModelImpl,21,2,5,0,65,34
net.sourceforge.ganttproject.chart.ChartModelResource,10,2,4,0,29,10
net.sourceforge.ganttproject.chart.ChartModelResource.ResourceLoadOption,1,3,3,2,6,4
net.sourceforge.ganttproject.chart.ChartOptionGroup,4,2,1,0,5,2
net.sourceforge.ganttproject.chart.ChartRendererBase,13,2,4,4,21,13
net.sourceforge.ganttproject.chart.ChartSelection,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.chart.ChartSelectionListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.ChartUIConfiguration,18,1,13,0,48,34
net.sourceforge.ganttproject.chart.ChartUIConfiguration.ChartPropertiesOption,2,2,6,0,27,14
net.sourceforge.ganttproject.chart.ChartViewState,14,1,1,0,25,12
net.sourceforge.ganttproject.chart.DependencyInteractionRenderer,1,1,1,0,9,9
net.sourceforge.ganttproject.chart.GanttChart,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.chart.MilestoneTaskFakeActivity,5,1,6,0,19,13
net.sourceforge.ganttproject.chart.OffsetManagerTest,2,3,1,0,14,1
net.sourceforge.ganttproject.chart.OffsetManagerTest.TestOffsetBuilderFactory,1,1,2,0,13,3
net.sourceforge.ganttproject.chart.ProjectCalendarDialogAction,10,3,1,0,19,5
net.sourceforge.ganttproject.chart.ResourceChart,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.ResourceLoadRenderer,13,3,1,0,64,34
net.sourceforge.ganttproject.chart.ResourceLoadRenderer.ResourceLoad,1,1,1,0,4,3
net.sourceforge.ganttproject.chart.SimpleRenderedImage,3,1,6,1,59,49
net.sourceforge.ganttproject.chart.StyledPainterImpl,5,1,1,0,45,34
net.sourceforge.ganttproject.chart.StyledPainterImpl.ColouredRectanglePainter,2,1,1,0,8,2
net.sourceforge.ganttproject.chart.StyledPainterImpl.RectanglePainter,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.TaskActivityPart,4,1,2,0,30,13
net.sourceforge.ganttproject.chart.TaskChartModelFacade,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.TaskInteractionHintRenderer,2,1,1,0,12,4
net.sourceforge.ganttproject.chart.TaskRendererImpl2,25,3,3,0,118,80
net.sourceforge.ganttproject.chart.TaskRendererImpl2.BarChartConnectorImpl,6,1,2,0,18,11
net.sourceforge.ganttproject.chart.TaskRendererImpl2.TaskActivityChartApi,5,1,5,0,17,8
net.sourceforge.ganttproject.chart.TaskRendererImpl2.VerticalPartitioning,3,1,1,0,11,11
net.sourceforge.ganttproject.chart.TaskRendererImplTest,3,4,3,0,69,6
net.sourceforge.ganttproject.chart.TestCanvas,0,3,1,0,8,1
net.sourceforge.ganttproject.chart.TestOffsetBuilder,1,3,1,0,27,1
net.sourceforge.ganttproject.chart.TestPainter,1,1,6,1,9,8
net.sourceforge.ganttproject.chart.TestTextLengthCalculator,1,1,2,0,6,5
net.sourceforge.ganttproject.chart.TestTimelineLabelRendererImpl,5,3,1,0,37,7
net.sourceforge.ganttproject.chart.TestTimelineLabelRendererImpl.TestChartModelApi,3,1,3,0,12,7
net.sourceforge.ganttproject.chart.TimelineChart,n/a,n/a,n/a,n/a,11,n/a
net.sourceforge.ganttproject.chart.TimelineChart.VScrollController,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.chart.TimelineLabelRendererImpl,6,3,1,0,27,8
net.sourceforge.ganttproject.chart.TimelineLabelRendererImpl.ChartModelApi,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.chart.TimelineLabelRendererImpl.LabelTextSelector,2,1,1,0,9,7
net.sourceforge.ganttproject.chart.VisibleNodesFilter,4,1,1,0,11,6
net.sourceforge.ganttproject.chart.export.ChartDimensions,5,1,2,0,16,8
net.sourceforge.ganttproject.chart.export.ChartImageBuilder,8,1,1,0,42,4
net.sourceforge.ganttproject.chart.export.ChartImageVisitor,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.chart.export.RenderedChartImage,4,2,1,0,24,6
net.sourceforge.ganttproject.chart.gantt.ClipboardContents,17,1,1,0,42,28
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessor,17,1,1,0,64,28
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessorTest,3,3,6,0,69,11
net.sourceforge.ganttproject.chart.gantt.GanttChartController,42,2,5,0,72,33
net.sourceforge.ganttproject.chart.gantt.GanttChartSelection,15,2,2,0,31,11
net.sourceforge.ganttproject.chart.gantt.MouseListenerImpl,19,3,1,0,40,24
net.sourceforge.ganttproject.chart.gantt.MouseMotionListenerImpl,14,3,1,0,27,12
net.sourceforge.ganttproject.chart.item.CalendarChartItem,4,2,1,0,3,2
net.sourceforge.ganttproject.chart.item.ChartItem,18,1,1,6,2,2
net.sourceforge.ganttproject.chart.item.TaskBoundaryChartItem,9,2,1,0,3,2
net.sourceforge.ganttproject.chart.item.TaskNotesChartItem,4,2,0,0,2,1
net.sourceforge.ganttproject.chart.item.TaskProgressChartItem,8,2,0,0,2,1
net.sourceforge.ganttproject.chart.item.TaskRegularAreaChartItem,7,2,0,0,2,1
net.sourceforge.ganttproject.chart.item.TimelineLabelChartItem,3,2,0,0,2,1
net.sourceforge.ganttproject.chart.mouse.ChangeTaskBoundaryInteraction,13,2,2,2,24,10
net.sourceforge.ganttproject.chart.mouse.ChangeTaskEndInteraction,12,3,2,0,24,4
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressInteraction,15,2,2,0,29,10
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressRuler,4,1,1,0,21,10
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressRulerTest,2,3,1,0,35,3
net.sourceforge.ganttproject.chart.mouse.ChangeTaskStartInteraction,12,3,2,0,23,5
net.sourceforge.ganttproject.chart.mouse.DrawDependencyInteraction,18,2,1,0,21,8
net.sourceforge.ganttproject.chart.mouse.DrawDependencyInteraction.ChartModelFacade,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.chart.mouse.MouseInteraction,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.chart.mouse.MouseInteraction.TimelineFacade,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.chart.mouse.MouseInteractionBase,8,1,2,5,11,6
net.sourceforge.ganttproject.chart.mouse.MouseListenerBase,8,2,2,2,22,11
net.sourceforge.ganttproject.chart.mouse.MouseMotionListenerBase,5,2,2,1,7,4
net.sourceforge.ganttproject.chart.mouse.MouseWheelListenerBase,4,1,1,1,14,10
net.sourceforge.ganttproject.chart.mouse.MoveTaskInteractions,12,2,1,0,25,11
net.sourceforge.ganttproject.chart.mouse.ScrollViewInteraction,7,2,1,0,18,6
net.sourceforge.ganttproject.chart.mouse.TimelineFacadeImpl,7,1,2,0,17,12
net.sourceforge.ganttproject.chart.overview.GPToolbar,8,1,2,0,20,16
net.sourceforge.ganttproject.chart.overview.HighlightOnMouseOver,0,2,2,0,12,6
net.sourceforge.ganttproject.chart.overview.NavigationPanel,14,1,1,0,26,4
net.sourceforge.ganttproject.chart.overview.PanelBorder,0,5,1,0,5,2
net.sourceforge.ganttproject.chart.overview.ToolbarBuilder,14,1,3,0,43,44
net.sourceforge.ganttproject.chart.overview.ToolbarBuilder.ButtonBuilder,4,1,1,0,16,3
net.sourceforge.ganttproject.chart.overview.ToolbarBuilder.Gaps,3,1,0,0,0,2
net.sourceforge.ganttproject.chart.overview.ZoomingPanel,8,1,1,0,18,4
net.sourceforge.ganttproject.client.RssFeed,3,1,1,0,5,2
net.sourceforge.ganttproject.client.RssFeed.Item,2,1,0,0,1,1
net.sourceforge.ganttproject.client.RssFeedChecker,13,1,3,0,37,32
net.sourceforge.ganttproject.client.RssFeedChecker.CheckOption,1,n/a,2,n/a,2,0
net.sourceforge.ganttproject.client.RssParser,3,1,1,0,30,25
net.sourceforge.ganttproject.customProperty.CustomPropertyImportTest,0,3,1,0,8,1
net.sourceforge.ganttproject.document.AbstractDocument,4,1,9,2,14,11
net.sourceforge.ganttproject.document.AbstractURLDocument,3,2,0,3,0,0
net.sourceforge.ganttproject.document.Document,n/a,n/a,n/a,n/a,18,n/a
net.sourceforge.ganttproject.document.Document.DocumentException,14,3,0,0,4,2
net.sourceforge.ganttproject.document.Document.ErrorCode,3,n/a,2,n/a,2,0
net.sourceforge.ganttproject.document.DocumentCreator,23,1,5,2,95,51
net.sourceforge.ganttproject.document.DocumentCreator.StringOptionImpl,2,3,3,0,6,4
net.sourceforge.ganttproject.document.DocumentMRUListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.DocumentManager,n/a,n/a,n/a,n/a,15,n/a
net.sourceforge.ganttproject.document.DocumentManager.FTPOptions,4,2,4,1,6,1
net.sourceforge.ganttproject.document.DocumentStorageUi,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.document.DocumentStorageUi.Components,3,1,0,0,1,1
net.sourceforge.ganttproject.document.DocumentStorageUi.DocumentReceiver,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.DocumentsMRU,2,1,1,0,20,11
net.sourceforge.ganttproject.document.DocumentsMRU.Listener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.FileDocument,5,2,4,0,31,24
net.sourceforge.ganttproject.document.FtpDocument,3,3,6,0,36,17
net.sourceforge.ganttproject.document.NetworkOptionPageProvider,11,2,3,0,28,8
net.sourceforge.ganttproject.document.Portfolio,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.ProxyDocument,16,1,3,0,58,29
net.sourceforge.ganttproject.document.ProxyDocument.FailureState,2,1,1,0,1,1
net.sourceforge.ganttproject.document.ProxyDocument.OnlyShowWeekendsTagHandler,2,2,1,0,6,2
net.sourceforge.ganttproject.document.ProxyDocument.ParsingState,30,1,1,0,48,4
net.sourceforge.ganttproject.document.ProxyDocument.PortfolioImpl,4,1,1,0,3,3
net.sourceforge.ganttproject.document.ProxyDocument.PortfolioTagHandler,7,2,1,0,12,9
net.sourceforge.ganttproject.document.ProxyDocument.SuccessState,2,1,1,0,1,1
net.sourceforge.ganttproject.document.ReadOnlyProxyDocument,4,1,8,0,32,19
net.sourceforge.ganttproject.document.webdav.FilesCellRenderer,4,1,1,0,27,6
net.sourceforge.ganttproject.document.webdav.FilesTableModel,5,2,1,0,9,10
net.sourceforge.ganttproject.document.webdav.GanttURLChooser,24,1,3,0,112,77
net.sourceforge.ganttproject.document.webdav.GanttURLChooser.ReloadWorker,6,2,2,0,19,9
net.sourceforge.ganttproject.document.webdav.GanttURLChooser.SelectionListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.webdav.HttpDocument,11,3,7,0,40,34
net.sourceforge.ganttproject.document.webdav.HttpDocumentOutputStream,3,3,1,0,8,2
net.sourceforge.ganttproject.document.webdav.MiltonResourceFactory,7,1,1,0,42,17
net.sourceforge.ganttproject.document.webdav.MiltonResourceFactory.Key,1,1,0,0,5,4
net.sourceforge.ganttproject.document.webdav.MiltonResourceImpl,6,1,1,0,61,37
net.sourceforge.ganttproject.document.webdav.WebDavOptionPageProvider,11,2,3,0,42,17
net.sourceforge.ganttproject.document.webdav.WebDavProxyTest,0,3,1,0,13,1
net.sourceforge.ganttproject.document.webdav.WebDavResource,n/a,n/a,n/a,n/a,16,n/a
net.sourceforge.ganttproject.document.webdav.WebDavResource.WebDavException,9,3,0,0,4,2
net.sourceforge.ganttproject.document.webdav.WebDavResource.WebDavRuntimeException,2,4,0,0,6,3
net.sourceforge.ganttproject.document.webdav.WebDavServerDescriptor,7,1,3,0,15,11
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl,18,1,2,0,45,24
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl.ServerListOption,4,2,1,0,33,21
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl.ServerListOption.EnumerationOptionImpl,2,3,3,0,15,5
net.sourceforge.ganttproject.document.webdav.WebDavUri,7,1,1,0,20,8
net.sourceforge.ganttproject.export.CommandLineExportApplication,15,1,1,0,41,16
net.sourceforge.ganttproject.export.CommandLineExportApplication.Args,1,1,0,0,0,0
net.sourceforge.ganttproject.export.ConsoleUIFacade,19,1,31,0,52,41
net.sourceforge.ganttproject.export.DeprecatedProjectExportData,3,1,0,0,2,1
net.sourceforge.ganttproject.export.ExportException,0,3,0,0,4,2
net.sourceforge.ganttproject.export.ExportFileWizardImpl,13,2,1,0,22,9
net.sourceforge.ganttproject.export.ExportFileWizardImpl.ExportFinalizationJobImpl,7,1,1,0,7,2
net.sourceforge.ganttproject.export.ExportFileWizardImpl.State,5,1,3,0,6,5
net.sourceforge.ganttproject.export.ExportFinalizationJob,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.export.Exporter,n/a,n/a,n/a,n/a,10,n/a
net.sourceforge.ganttproject.export.ExporterBase,13,1,3,4,49,21
net.sourceforge.ganttproject.export.ExporterBase.ExporterJob,3,1,2,9,3,2
net.sourceforge.ganttproject.export.ExporterChooserPage,6,1,2,0,14,13
net.sourceforge.ganttproject.export.ExporterToCSV,8,2,6,0,13,11
net.sourceforge.ganttproject.export.ExporterToImage,6,2,5,0,21,13
net.sourceforge.ganttproject.export.ExporterToImage.FileTypeOption,2,2,4,0,12,10
net.sourceforge.ganttproject.export.FileChooserPage,13,2,3,0,61,31
net.sourceforge.ganttproject.export.TaskVisitor,4,1,1,2,10,3
net.sourceforge.ganttproject.export.WebPublisher,5,1,1,0,8,12
net.sourceforge.ganttproject.export.WebPublisher.Ftp,5,1,1,0,31,12
net.sourceforge.ganttproject.filter.ExtensionBasedFileFilter,4,2,2,1,14,7
net.sourceforge.ganttproject.filter.GanttXMLFileFilter,3,3,0,0,2,1
net.sourceforge.ganttproject.font.Fonts,5,1,0,0,1,0
net.sourceforge.ganttproject.gui.AbstractPagesDialog,16,1,2,3,33,21
net.sourceforge.ganttproject.gui.AbstractPagesDialog.ListItem,4,1,0,0,1,1
net.sourceforge.ganttproject.gui.AbstractTableAndActionsComponent,10,1,5,4,46,35
net.sourceforge.ganttproject.gui.AbstractTableAndActionsComponent.SelectionListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.gui.ActionUtil,2,1,1,0,2,6
net.sourceforge.ganttproject.gui.DateIntervalListEditor,7,5,1,0,34,12
net.sourceforge.ganttproject.gui.DateIntervalListEditor.DateInterval,5,1,3,0,12,8
net.sourceforge.ganttproject.gui.DateIntervalListEditor.DateIntervalModel,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.gui.DateIntervalListEditor.DefaultDateIntervalModel,4,1,4,1,20,7
net.sourceforge.ganttproject.gui.DateIntervalListEditor.MyListModel,4,2,1,0,6,3
net.sourceforge.ganttproject.gui.DialogAligner,7,1,2,0,14,8
net.sourceforge.ganttproject.gui.EditableList,12,1,9,4,68,41
net.sourceforge.ganttproject.gui.EditableList.ComboItem,2,1,0,0,3,2
net.sourceforge.ganttproject.gui.EditableList.TableAndActionsImpl,2,2,1,0,21,6
net.sourceforge.ganttproject.gui.EditableList.TableModelImpl,2,2,2,0,20,14
net.sourceforge.ganttproject.gui.FileChooserPageBase,15,1,1,1,79,44
net.sourceforge.ganttproject.gui.FileChooserPageBase.UrlFetcher,2,1,1,1,37,15
net.sourceforge.ganttproject.gui.GPColorChooser,4,1,2,0,37,14
net.sourceforge.ganttproject.gui.GPlainDocument,1,3,1,0,19,8
net.sourceforge.ganttproject.gui.GTextField,1,7,3,0,17,8
net.sourceforge.ganttproject.gui.GanttDialogInfo,4,6,0,0,28,11
net.sourceforge.ganttproject.gui.GanttDialogPerson,21,1,1,0,71,27
net.sourceforge.ganttproject.gui.GanttDialogProperties,16,1,1,0,12,8
net.sourceforge.ganttproject.gui.GanttImagePanel,1,5,1,0,15,2
net.sourceforge.ganttproject.gui.GanttLookAndFeelInfo,6,2,0,0,6,3
net.sourceforge.ganttproject.gui.GanttLookAndFeels,4,1,2,0,25,12
net.sourceforge.ganttproject.gui.GanttStatusBar,7,5,6,0,13,8
net.sourceforge.ganttproject.gui.GanttStatusBar.ProgressBarDialog,4,6,1,0,35,9
net.sourceforge.ganttproject.gui.GanttStatusBar.ProgressMonitorImpl,3,1,3,0,13,14
net.sourceforge.ganttproject.gui.GanttTabbedPane,4,5,1,0,14,6
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean,35,5,1,0,185,80
net.sourceforge.ganttproject.gui.ListAndFieldsPanel,2,1,1,0,16,3
net.sourceforge.ganttproject.gui.NotificationChannel,14,n/a,7,n/a,37,27
net.sourceforge.ganttproject.gui.NotificationChannel.Listener,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.gui.NotificationComponent,9,1,2,0,59,27
net.sourceforge.ganttproject.gui.NotificationComponent.AnimationView,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.gui.NotificationItem,9,1,1,0,7,9
net.sourceforge.ganttproject.gui.NotificationManager,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.gui.NotificationManagerImpl,10,1,1,0,30,23
net.sourceforge.ganttproject.gui.OpenFileDialog,2,1,1,0,12,5
net.sourceforge.ganttproject.gui.ProjectMRUMenu,7,7,1,0,9,4
net.sourceforge.ganttproject.gui.ProjectOpenDiagnosticImpl,13,1,1,0,36,17
net.sourceforge.ganttproject.gui.ProjectOpenDiagnosticImpl.ShowDialogCallback,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.gui.ProjectOpenDiagnosticUiFx,4,1,1,0,6,10
net.sourceforge.ganttproject.gui.ProjectOpenDiagnosticUiSwing,4,1,1,0,5,1
net.sourceforge.ganttproject.gui.ProjectOpenStrategy,15,1,2,0,24,7
net.sourceforge.ganttproject.gui.ProjectOpenStrategy.ConvertMilestones,2,n/a,2,n/a,2,0
net.sourceforge.ganttproject.gui.ProjectOpenStrategy.Step1,15,1,1,0,37,14
net.sourceforge.ganttproject.gui.ProjectOpenStrategy.Step2,11,1,1,0,16,5
net.sourceforge.ganttproject.gui.ProjectOpenStrategy.Step3,6,1,1,0,6,9
net.sourceforge.ganttproject.gui.ProjectUIFacade,n/a,n/a,n/a,n/a,7,n/a
net.sourceforge.ganttproject.gui.ProjectUIFacadeImpl,21,1,2,0,81,39
net.sourceforge.ganttproject.gui.RecentColorsOption,1,2,7,0,28,15
net.sourceforge.ganttproject.gui.ResourceTreeUIFacade,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.gui.TaskSelectionContext,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.gui.TaskTreeUIFacade,n/a,n/a,n/a,n/a,0,n/a
net.sourceforge.ganttproject.gui.TestGanttRolloverButton,12,6,1,1,54,25
net.sourceforge.ganttproject.gui.TestGanttRolloverButton.MouseOverHandler,1,2,2,0,5,3
net.sourceforge.ganttproject.gui.TextFieldAndFileChooserComponent,9,5,2,3,45,33
net.sourceforge.ganttproject.gui.TreeUiFacade,n/a,n/a,n/a,n/a,15,n/a
net.sourceforge.ganttproject.gui.UIConfiguration,18,1,16,0,35,30
net.sourceforge.ganttproject.gui.UIConfiguration.RedlineOption,2,3,3,0,11,5
net.sourceforge.ganttproject.gui.UIFacade,n/a,n/a,n/a,n/a,42,n/a
net.sourceforge.ganttproject.gui.UIFacade.Centering,5,n/a,2,n/a,2,0
net.sourceforge.ganttproject.gui.UIFacade.Choice,8,n/a,2,n/a,2,0
net.sourceforge.ganttproject.gui.UIFacade.Dialog,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.gui.UIUtil,68,1,22,0,153,86
net.sourceforge.ganttproject.gui.UIUtil.DatePickerEditCommiter,5,1,1,0,22,11
net.sourceforge.ganttproject.gui.UIUtil.DateValidator,n/a,n/a,n/a,n/a,0,n/a
net.sourceforge.ganttproject.gui.UIUtil.DateValidator.Default,4,1,1,0,2,4
net.sourceforge.ganttproject.gui.UIUtil.GPDateCellEditor,8,3,2,0,29,13
net.sourceforge.ganttproject.gui.UIUtil.MultiscreenFitResult,3,1,0,0,1,1
net.sourceforge.ganttproject.gui.ViewLogDialog,6,1,1,0,6,1
net.sourceforge.ganttproject.gui.about.AboutDialog2,10,2,2,0,47,12
net.sourceforge.ganttproject.gui.burndown.BurndownPopup,8,2,2,0,47,12
net.sourceforge.ganttproject.gui.options.BooleanOptionAction,1,2,1,0,4,2
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel,8,6,1,0,41,24
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel.ExportFieldsTableModel,0,2,4,2,13,13
