Complexity metrics,Sun, 4 Dec 2022 04:19:03 WET
Method,CogC,ev(G),iv(G),v(G)
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getBaseCalendarID(),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getDayMask(Date),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getEvent(Date),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getOnlyShowWeekends(),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getPublicHolidays(),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getWeekDayType(int),0,1,1,1
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.importCalendar(GPCalendar, ImportCalendarOption)",0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setBaseCalendarID(String),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setOnlyShowWeekends(boolean),0,1,1,1
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setPublicHolidays(Collection<CalendarEvent>),0,1,1,1
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setWeekDayType(int, DayType)",1,2,1,2
"biz.ganttproject.core.calendar.CalendarActivityImpl.CalendarActivityImpl(Date, Date, boolean)",0,1,1,1
biz.ganttproject.core.calendar.CalendarActivityImpl.getEnd(),0,1,1,1
biz.ganttproject.core.calendar.CalendarActivityImpl.getStart(),0,1,1,1
biz.ganttproject.core.calendar.CalendarActivityImpl.isWorkingTime(),0,1,1,1
biz.ganttproject.core.calendar.CalendarActivityImpl.toString(),1,1,1,2
"biz.ganttproject.core.calendar.CalendarEvent.CalendarEvent(Date, boolean, Type, String, Color)",0,1,1,1
biz.ganttproject.core.calendar.CalendarEvent.equals(Object),2,2,3,4
biz.ganttproject.core.calendar.CalendarEvent.getColor(),0,1,1,1
biz.ganttproject.core.calendar.CalendarEvent.getTitle(),0,1,1,1
biz.ganttproject.core.calendar.CalendarEvent.getType(),0,1,1,1
biz.ganttproject.core.calendar.CalendarEvent.hashCode(),0,1,1,1
"biz.ganttproject.core.calendar.CalendarEvent.newEvent(Date, boolean, Type, String, Color)",0,1,1,1
biz.ganttproject.core.calendar.CalendarEvent.toString(),0,1,1,1
biz.ganttproject.core.calendar.GPCalendarBase.addListener(GPCalendarListener),0,1,1,1
"biz.ganttproject.core.calendar.GPCalendarBase.doFindClosest(Date, DateFrameable, MoveDirection, DayType, Date)",13,5,6,11
"biz.ganttproject.core.calendar.GPCalendarBase.findClosest(Date, TimeUnit, MoveDirection, DayType)",0,1,1,1
"biz.ganttproject.core.calendar.GPCalendarBase.findClosest(Date, TimeUnit, MoveDirection, DayType, Date)",0,1,1,1
biz.ganttproject.core.calendar.GPCalendarBase.fireCalendarChanged(),3,1,3,3
"biz.ganttproject.core.calendar.GPCalendarBase.getActivities(Date, TimeDuration)",0,1,1,1
"biz.ganttproject.core.calendar.GPCalendarBase.getActivities(Date, TimeUnit, long)",1,1,2,2
biz.ganttproject.core.calendar.GPCalendarBase.getID(),1,1,1,2
biz.ganttproject.core.calendar.GPCalendarBase.getName(),0,1,1,1
biz.ganttproject.core.calendar.GPCalendarBase.setID(String),0,1,1,1
biz.ganttproject.core.calendar.GPCalendarBase.setName(String),0,1,1,1
"biz.ganttproject.core.calendar.GPCalendarBase.shiftDate(Date, TimeDuration)",4,3,2,4
"biz.ganttproject.core.calendar.GanttDaysOff.GanttDaysOff(Date, Date)",0,1,1,1
"biz.ganttproject.core.calendar.GanttDaysOff.GanttDaysOff(GanttCalendar, GanttCalendar)",0,1,1,1
biz.ganttproject.core.calendar.GanttDaysOff.create(GanttDaysOff),0,1,1,1
biz.ganttproject.core.calendar.GanttDaysOff.equals(GanttDaysOff),1,1,2,2
biz.ganttproject.core.calendar.GanttDaysOff.getFinish(),0,1,1,1
