Complexity metrics,Sun, 4 Dec 2022 04:19:03 WET
Method,CogC,ev(G),iv(G),v(G)
net.sourceforge.ganttproject.action.edit.RedoAction.RedoAction(GPUndoManager),0,1,1,1
"net.sourceforge.ganttproject.action.edit.RedoAction.RedoAction(GPUndoManager, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.edit.RedoAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.edit.RedoAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.edit.RedoAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.edit.RedoAction.getLocalizedName(),2,2,3,3
net.sourceforge.ganttproject.action.edit.RedoAction.undoOrRedoHappened(),0,1,1,1
net.sourceforge.ganttproject.action.edit.RedoAction.undoableEditHappened(UndoableEditEvent),0,1,1,1
net.sourceforge.ganttproject.action.edit.RedoAction.withIcon(IconSize),0,1,1,1
net.sourceforge.ganttproject.action.edit.RefreshViewAction.RefreshViewAction(UIFacade),0,1,1,1
net.sourceforge.ganttproject.action.edit.RefreshViewAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.edit.RefreshViewAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.edit.SearchDialogAction.SearchDialogAction(SearchUi),0,1,1,1
net.sourceforge.ganttproject.action.edit.SearchDialogAction.actionPerformed(ActionEvent),0,1,1,1
"net.sourceforge.ganttproject.action.edit.SettingsDialogAction.SettingsDialogAction(IGanttProject, UIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.edit.SettingsDialogAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.edit.UndoAction.UndoAction(GPUndoManager),0,1,1,1
"net.sourceforge.ganttproject.action.edit.UndoAction.UndoAction(GPUndoManager, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.edit.UndoAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.edit.UndoAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.edit.UndoAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.edit.UndoAction.getLocalizedName(),2,2,3,3
net.sourceforge.ganttproject.action.edit.UndoAction.undoOrRedoHappened(),0,1,1,1
net.sourceforge.ganttproject.action.edit.UndoAction.undoableEditHappened(UndoableEditEvent),0,1,1,1
net.sourceforge.ganttproject.action.edit.UndoAction.withIcon(IconSize),0,1,1,1
net.sourceforge.ganttproject.action.help.HelpMenu.AboutAction.AboutAction(UIFacade),0,1,1,1
net.sourceforge.ganttproject.action.help.HelpMenu.AboutAction.actionPerformed(ActionEvent),0,1,1,1
"net.sourceforge.ganttproject.action.help.HelpMenu.HelpMenu(IGanttProject, UIFacade, ProjectUIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction.RecoverLastProjectAction(IGanttProject, UIFacade, ProjectUIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction.actionPerformed(ActionEvent),2,1,3,3
net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction.recover(Document),1,1,2,2
net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction.runAction(Document),6,1,3,3
net.sourceforge.ganttproject.action.help.HelpMenu.ViewLogAction.ViewLogAction(UIFacade),0,1,1,1
net.sourceforge.ganttproject.action.help.HelpMenu.ViewLogAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.help.HelpMenu.createMenu(),0,1,1,1
"net.sourceforge.ganttproject.action.project.CloudProjectActionBase.CloudProjectActionBase(String, UIFacade, DocumentManager)",0,1,1,1
"net.sourceforge.ganttproject.action.project.CloudProjectActionBase.showURLDialog(IGanttProject, boolean)",3,1,3,4
net.sourceforge.ganttproject.action.project.ExitAction.ExitAction(GanttProject),0,1,1,1
net.sourceforge.ganttproject.action.project.ExitAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.project.ExitAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.project.NewProjectAction.NewProjectAction(GanttProject),0,1,1,1
net.sourceforge.ganttproject.action.project.NewProjectAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.NewProjectAction.getIconFilePrefix(),0,1,1,1
"net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction.OpenMRUDocumentAction(int, String, IGanttProject, UIFacade, ProjectUIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction.actionPerformed(ActionEvent),5,1,4,4
net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction.getLocalizedName(),1,1,2,2
"net.sourceforge.ganttproject.action.project.OpenProjectAction.OpenProjectAction(IGanttProject, ProjectUIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.project.OpenProjectAction.OpenProjectAction(IGanttProject, ProjectUIFacade, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.project.OpenProjectAction.actionPerformed(ActionEvent),2,2,2,3
net.sourceforge.ganttproject.action.project.OpenProjectAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.project.OpenProjectAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.project.OpenProjectAction.withIcon(IconSize),0,1,1,1
"net.sourceforge.ganttproject.action.project.OpenURLAction.OpenURLAction(IGanttProject, UIFacade, ProjectUIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.project.OpenURLAction.actionPerformed(ActionEvent),6,2,4,5
net.sourceforge.ganttproject.action.project.OpenURLAction.openRemoteProject(IGanttProject),1,1,2,2
net.sourceforge.ganttproject.action.project.PrintAction.PrintAction(GanttProject),0,1,1,1
net.sourceforge.ganttproject.action.project.PrintAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.PrintAction.getIconFilePrefix(),0,1,1,1
"net.sourceforge.ganttproject.action.project.ProjectExportAction.ProjectExportAction(UIFacade, IGanttProject, Preferences)",0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectExportAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.ProjectExportAction.getIconFilePrefix(),0,1,1,1
"net.sourceforge.ganttproject.action.project.ProjectImportAction.ProjectImportAction(UIFacade, GanttProject)",0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectImportAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.ProjectImportAction.getIconFilePrefix(),0,1,1,1
"net.sourceforge.ganttproject.action.project.ProjectMenu.ProjectMenu(GanttProject, JMenu, String)",0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectMenu.add(Action),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectMenu.getNewProjectAction(),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectMenu.getOpenProjectAction(),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectMenu.getPrintAction(),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectMenu.getSaveProjectAction(),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectPreviewAction.ProjectPreviewAction(GanttProject),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectPreviewAction.actionPerformed(ActionEvent),4,3,3,5
net.sourceforge.ganttproject.action.project.ProjectPreviewAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectPropertiesAction.ProjectPropertiesAction(GanttProject),0,1,1,1
net.sourceforge.ganttproject.action.project.ProjectPropertiesAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.ProjectPropertiesAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.SaveProjectAction(GanttProject),0,1,1,1
"net.sourceforge.ganttproject.action.project.SaveProjectAction.SaveProjectAction(GanttProject, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.SaveProjectAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.projectClosed(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.projectCreated(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.projectModified(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.projectOpened(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.projectSaved(),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAction.withIcon(IconSize),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAsAction.SaveProjectAsAction(GanttProject),0,1,1,1
net.sourceforge.ganttproject.action.project.SaveProjectAsAction.actionPerformed(ActionEvent),1,2,1,2
net.sourceforge.ganttproject.action.project.SaveProjectAsAction.getIconFilePrefix(),0,1,1,1
"net.sourceforge.ganttproject.action.project.SaveURLAction.SaveURLAction(IGanttProject, UIFacade, ProjectUIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.project.SaveURLAction.actionPerformed(ActionEvent),2,2,2,3
net.sourceforge.ganttproject.action.project.SaveURLAction.saveProjectRemotely(IGanttProject),1,1,2,2
"net.sourceforge.ganttproject.action.resource.AssignmentDeleteAction.AssignmentDeleteAction(AssignmentContext, UIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.resource.AssignmentDeleteAction.actionPerformed(ActionEvent),4,1,3,4
net.sourceforge.ganttproject.action.resource.AssignmentDeleteAction.deleteAssignments(ResourceAssignment[]),1,1,2,2
"net.sourceforge.ganttproject.action.resource.ResourceAction.ResourceAction(String, HumanResourceManager)",0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourceAction.ResourceAction(String, HumanResourceManager, ResourceContext, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceAction.addStateChangedListener(ActionStateChangedListener),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceAction.getContext(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceAction.getManager(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceAction.getSelection(),1,1,1,2
net.sourceforge.ganttproject.action.resource.ResourceAction.hasResources(),1,1,1,2
net.sourceforge.ganttproject.action.resource.ResourceAction.setEnabled(boolean),1,1,2,2
"net.sourceforge.ganttproject.action.resource.ResourceActionSet.ResourceActionSet(ResourceContext, AssignmentContext, GanttProject, UIFacade, ResourceTreeTable)",0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getActions(),1,1,2,2
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getAssignmentDelete(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getResourceDeleteAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getResourceMoveDownAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getResourceMoveUpAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getResourceNewAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getResourcePropertiesAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceActionSet.getResourceSendMailAction(),0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourceDeleteAction.ResourceDeleteAction(HumanResourceManager, ResourceContext, GanttProject, UIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourceDeleteAction.ResourceDeleteAction(HumanResourceManager, ResourceContext, GanttProject, UIFacade, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceDeleteAction.actionPerformed(ActionEvent),1,1,2,2
net.sourceforge.ganttproject.action.resource.ResourceDeleteAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceDeleteAction.deleteResources(HumanResource[]),1,1,2,2
"net.sourceforge.ganttproject.action.resource.ResourceImportAction.ResourceImportAction(HumanResourceManager, TaskManager, RoleManager, GanttProject)",0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceImportAction.actionPerformed(ActionEvent),1,1,2,2
net.sourceforge.ganttproject.action.resource.ResourceImportAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceImportAction.getResourcesFile(),1,1,1,2
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction.ResourceMoveDownAction(ResourceTreeTable),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction.valueChanged(TreeSelectionEvent),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction.ResourceMoveUpAction(ResourceTreeTable),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction.valueChanged(TreeSelectionEvent),0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourceNewAction.ResourceNewAction(HumanResourceManager, RoleManager, UIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourceNewAction.ResourceNewAction(HumanResourceManager, RoleManager, UIFacade, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceNewAction.actionPerformed(ActionEvent),2,2,2,3
net.sourceforge.ganttproject.action.resource.ResourceNewAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceNewAction.updateAction(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceNewAction.withIcon(IconSize),0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction.ResourcePropertiesAction(IGanttProject, ResourceContext, UIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction.ResourcePropertiesAction(IGanttProject, ResourceContext, UIFacade, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction.actionPerformed(ActionEvent),4,2,3,4
net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.resource.ResourceSendMailAction.ResourceSendMailAction(ResourceTreeTable),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceSendMailAction.actionPerformed(ActionEvent),7,1,5,5
net.sourceforge.ganttproject.action.resource.ResourceSendMailAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.resource.ResourceSendMailAction.valueChanged(TreeSelectionEvent),1,1,2,2
"net.sourceforge.ganttproject.action.scroll.ScrollTimeIntervalAction.ScrollTimeIntervalAction(String, int, TaskManager, ChartModel, ScrollingManager)",0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollTimeIntervalAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollTimeIntervalAction.createTimeInterval(),0,1,1,1
"net.sourceforge.ganttproject.action.scroll.ScrollToEndAction.ScrollToEndAction(IGanttProject, TimelineChart)",0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollToEndAction.actionPerformed(ActionEvent),1,1,2,2
"net.sourceforge.ganttproject.action.scroll.ScrollToSelectionAction.ScrollToSelectionAction(UIFacade, TimelineChart)",0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollToSelectionAction.actionPerformed(ActionEvent),5,2,4,5
net.sourceforge.ganttproject.action.scroll.ScrollToSelectionAction.selectionChanged(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollToSelectionAction.userInputConsumerChanged(Object),0,1,1,1
"net.sourceforge.ganttproject.action.scroll.ScrollToStartAction.ScrollToStartAction(IGanttProject, TimelineChart)",0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollToStartAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollToTodayAction.ScrollToTodayAction(TimelineChart),0,1,1,1
net.sourceforge.ganttproject.action.scroll.ScrollToTodayAction.actionPerformed(ActionEvent),0,1,1,1
net.sourceforge.ganttproject.action.task.IndentTargetFunctionFactory.IndentTargetFunctionFactory(TaskManager),0,1,1,1
net.sourceforge.ganttproject.action.task.IndentTargetFunctionFactory.apply(Collection<Task>),3,1,2,3
net.sourceforge.ganttproject.action.task.OutdentTargetFunctionFactory.OutdentTargetFunctionFactory(TaskManager),0,1,1,1
net.sourceforge.ganttproject.action.task.OutdentTargetFunctionFactory.apply(Collection<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.OutdentTargetFunctionFactory.getTaskHierarchy(),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskActionBase.TaskActionBase(String, TaskManager, TaskSelectionManager, UIFacade, GanttTree2)",0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskActionBase.TaskActionBase(String, TaskManager, TaskSelectionManager, UIFacade, GanttTree2, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.actionPerformed(ActionEvent),6,2,4,5
net.sourceforge.ganttproject.action.task.TaskActionBase.addStateChangedListener(ActionStateChangedListener),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.askUserPermission(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.forwardScheduling(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.getSelectionManager(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.getTaskManager(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.getTree(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.getTreeFacade(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.getUIFacade(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.selectionChanged(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskActionBase.setEnabled(boolean),1,1,2,2
net.sourceforge.ganttproject.action.task.TaskActionBase.userInputConsumerChanged(Object),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskDeleteAction.TaskDeleteAction(TaskManager, TaskSelectionManager, UIFacade, GanttTree2)",0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskDeleteAction.TaskDeleteAction(TaskManager, TaskSelectionManager, UIFacade, GanttTree2, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskDeleteAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskDeleteAction.askUserPermission(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskDeleteAction.isEnabled(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskDeleteAction.run(List<Task>),10,1,6,7
net.sourceforge.ganttproject.action.task.TaskDeleteAction.withIcon(IconSize),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskIndentAction.TaskIndentAction(TaskManager, TaskSelectionManager, UIFacade, GanttTree2)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskIndentAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.task.TaskIndentAction.getIconFilePrefix(),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskIndentAction.indent(List<Task>, TaskContainmentHierarchyFacade, IndentApplyFxn)",1,1,2,2
net.sourceforge.ganttproject.action.task.TaskIndentAction.isEnabled(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskIndentAction.run(List<Task>),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskLinkAction.TaskLinkAction(TaskManager, TaskSelectionManager, UIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskLinkAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.task.TaskLinkAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskLinkAction.isEnabled(List<Task>),4,4,2,4
net.sourceforge.ganttproject.action.task.TaskLinkAction.run(List<Task>),3,1,3,3
"net.sourceforge.ganttproject.action.task.TaskMoveDownAction.TaskMoveDownAction(TaskManager, TaskSelectionManager, UIFacade, GanttTree2)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveDownAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.task.TaskMoveDownAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveDownAction.isEnabled(List<Task>),4,4,2,4
net.sourceforge.ganttproject.action.task.TaskMoveDownAction.run(List<Task>),1,1,2,2
"net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicate.TaskMoveEnabledPredicate(TaskManager, Function<Collection<Task>, Function<Task, Task>>)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicate.apply(List<Task>),7,5,2,6
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicate.getTaskManager(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicateTest.testIndentLinkedTasks(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicateTest.testSimpleIndent(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicateTest.testSimpleOutdent(),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskMoveUpAction.TaskMoveUpAction(TaskManager, TaskSelectionManager, UIFacade, GanttTree2)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveUpAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.task.TaskMoveUpAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskMoveUpAction.isEnabled(List<Task>),4,4,2,4
net.sourceforge.ganttproject.action.task.TaskMoveUpAction.run(List<Task>),1,1,2,2
"net.sourceforge.ganttproject.action.task.TaskNewAction.TaskNewAction(IGanttProject, UIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskNewAction.TaskNewAction(IGanttProject, UIFacade, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskNewAction.actionPerformed(ActionEvent),5,3,2,4
net.sourceforge.ganttproject.action.task.TaskNewAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskNewAction.getTaskManager(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskNewAction.getUIFacade(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskNewAction.updateAction(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskNewAction.withIcon(IconSize),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskPropertiesAction.TaskPropertiesAction(IGanttProject, TaskSelectionManager, UIFacade)",0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskPropertiesAction.TaskPropertiesAction(IGanttProject, TaskSelectionManager, UIFacade, IconSize)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskPropertiesAction.asToolbarAction(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskPropertiesAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskPropertiesAction.isEnabled(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskPropertiesAction.run(List<Task>),1,2,1,2
net.sourceforge.ganttproject.action.task.TaskPropertiesAction.withIcon(IconSize),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskUnindentAction.TaskUnindentAction(TaskManager, TaskSelectionManager, UIFacade, GanttTree2)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskUnindentAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.task.TaskUnindentAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskUnindentAction.isEnabled(List<Task>),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskUnindentAction.run(List<Task>),0,1,1,1
"net.sourceforge.ganttproject.action.task.TaskUnindentAction.unindent(List<Task>, TaskContainmentHierarchyFacade, UnindentApplyFxn)",1,1,2,2
"net.sourceforge.ganttproject.action.task.TaskUnlinkAction.TaskUnlinkAction(TaskManager, TaskSelectionManager, UIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.task.TaskUnlinkAction.asToolbarAction(),2,1,2,2
net.sourceforge.ganttproject.action.task.TaskUnlinkAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.task.TaskUnlinkAction.isEnabled(List<Task>),3,3,2,3
net.sourceforge.ganttproject.action.task.TaskUnlinkAction.run(List<Task>),1,1,2,2
"net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction.ViewChartOptionsDialogAction(ChartComponentBase, UIFacade)",0,1,1,1
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction.actionPerformed(ActionEvent),1,1,2,2
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction.commit(),1,1,2,2
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction.createDialogComponent(),0,1,1,1
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction.rollback(),1,1,2,2
"net.sourceforge.ganttproject.action.view.ViewCycleAction.ViewCycleAction(GPViewManager, boolean)",1,1,1,2
net.sourceforge.ganttproject.action.view.ViewCycleAction.actionPerformed(ActionEvent),2,1,2,2
net.sourceforge.ganttproject.action.view.ViewMenu.GPViewImpl.GPViewImpl(Chart),0,1,1,1
net.sourceforge.ganttproject.action.view.ViewMenu.GPViewImpl.getChart(),0,1,1,1
net.sourceforge.ganttproject.action.view.ViewMenu.GPViewImpl.getViewComponent(),0,1,1,1
net.sourceforge.ganttproject.action.view.ViewMenu.GPViewImpl.setActive(boolean),0,1,1,1
"net.sourceforge.ganttproject.action.view.ViewMenu.ViewMenu(IGanttProject, GPViewManager, IntegerOption, FontOption, String)",2,1,3,3
net.sourceforge.ganttproject.action.zoom.ZoomActionSet.ZoomActionSet(ZoomManager),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomActionSet.getZoomInAction(),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomActionSet.getZoomOutAction(),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomInAction.ZoomInAction(ZoomManager),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomInAction.actionPerformed(ActionEvent),1,1,2,2
net.sourceforge.ganttproject.action.zoom.ZoomInAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomInAction.zoomChanged(ZoomEvent),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomOutAction.ZoomOutAction(ZoomManager),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomOutAction.actionPerformed(ActionEvent),1,1,2,2
net.sourceforge.ganttproject.action.zoom.ZoomOutAction.getIconFilePrefix(),0,1,1,1
net.sourceforge.ganttproject.action.zoom.ZoomOutAction.zoomChanged(ZoomEvent),0,1,1,1
net.sourceforge.ganttproject.application.MainApplication.run(Object),1,1,2,2
"net.sourceforge.ganttproject.calendar.CalendarEditorPanel.CalendarEditorPanel(UIFacade, GPCalendar, Runnable)",1,1,1,2
"net.sourceforge.ganttproject.calendar.CalendarEditorPanel.CalendarEditorPanel(UIFacade, List<CalendarEvent>, Runnable)",1,1,1,2
