Lines of code metrics,domingo, 4 dez. 2022 22:59:46 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"biz.ganttproject.core.calendar.GPCalendarBase.doFindClosest(Date, DateFrameable, MoveDirection, DayType, Date)",0,0,28,28,"28,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.findClosest(Date, TimeUnit, MoveDirection, DayType)",0,0,3,3,"3,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.findClosest(Date, TimeUnit, MoveDirection, DayType, Date)",0,0,3,3,"3,00%"
biz.ganttproject.core.calendar.GPCalendarBase.fireCalendarChanged(),0,0,9,9,"9,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.getActivities(Date, TimeDuration)",0,0,3,3,"3,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.getActivities(Date, TimeUnit, long)",0,0,4,4,"4,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.getActivitiesBackward(Date, TimeUnit, long)",0,n/a,n/a,1,"1,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.getActivitiesForward(Date, TimeUnit, long)",0,n/a,n/a,1,"1,00%"
biz.ganttproject.core.calendar.GPCalendarBase.getDayMask(Date),0,n/a,n/a,1,"1,00%"
biz.ganttproject.core.calendar.GPCalendarBase.getID(),0,0,4,4,"4,00%"
biz.ganttproject.core.calendar.GPCalendarBase.getName(),0,0,4,4,"4,00%"
biz.ganttproject.core.calendar.GPCalendarBase.setID(String),0,0,4,4,"4,00%"
biz.ganttproject.core.calendar.GPCalendarBase.setName(String),0,0,4,4,"4,00%"
"biz.ganttproject.core.calendar.GPCalendarBase.shiftDate(Date, TimeDuration)",0,0,19,19,"19,00%"
biz.ganttproject.core.calendar.GPCalendarCalc.copy(),0,n/a,n/a,1,"3,12%"
"biz.ganttproject.core.calendar.GPCalendarCalc.findClosest(Date, TimeUnit, MoveDirection, DayType)",0,n/a,n/a,1,"3,12%"
"biz.ganttproject.core.calendar.GPCalendarCalc.findClosest(Date, TimeUnit, MoveDirection, DayType, Date)",0,n/a,n/a,1,"3,12%"
biz.ganttproject.core.calendar.GPCalendarCalc.findClosestWorkingTime(Date),0,n/a,n/a,1,"3,12%"
"biz.ganttproject.core.calendar.GPCalendarCalc.getActivities(Date, Date)",0,n/a,n/a,1,"3,12%"
"biz.ganttproject.core.calendar.GPCalendarCalc.getActivities(Date, TimeUnit, long)",0,n/a,n/a,1,"3,12%"
biz.ganttproject.core.calendar.GPCalendarCalc.getOnlyShowWeekends(),2,n/a,n/a,1,"15,62%"
biz.ganttproject.core.calendar.GPCalendarCalc.setOnlyShowWeekends(boolean),2,n/a,n/a,1,"18,75%"
"biz.ganttproject.core.calendar.GPCalendarCalc.shiftDate(Date, TimeDuration)",7,n/a,n/a,1,"25,00%"
biz.ganttproject.core.calendar.GPCalendarListener.onCalendarChange(),0,n/a,n/a,1,"11,11%"
"biz.ganttproject.core.calendar.GanttDaysOff.GanttDaysOff(Date, Date)",0,0,4,4,"8,33%"
"biz.ganttproject.core.calendar.GanttDaysOff.GanttDaysOff(GanttCalendar, GanttCalendar)",0,0,4,4,"8,33%"
biz.ganttproject.core.calendar.GanttDaysOff.create(GanttDaysOff),0,0,3,3,"6,25%"
biz.ganttproject.core.calendar.GanttDaysOff.equals(GanttDaysOff),0,0,3,3,"6,25%"
biz.ganttproject.core.calendar.GanttDaysOff.getFinish(),0,0,3,3,"6,25%"
biz.ganttproject.core.calendar.GanttDaysOff.getStart(),0,0,3,3,"6,25%"
biz.ganttproject.core.calendar.GanttDaysOff.isADayOff(Date),0,0,3,3,"6,25%"
biz.ganttproject.core.calendar.GanttDaysOff.isADayOff(GanttCalendar),0,0,3,3,"6,25%"
biz.ganttproject.core.calendar.GanttDaysOff.isADayOffInWeek(Date),0,0,12,12,"25,00%"
biz.ganttproject.core.calendar.GanttDaysOff.toString(),0,0,4,4,"8,33%"
biz.ganttproject.core.calendar.ImportCalendarOption.ImportCalendarOption(),0,0,3,3,"18,75%"
