Lines of code metrics,domingo, 4 dez. 2022 22:59:46 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"net.sourceforge.ganttproject.ChartTabContentPanel.ChartTabContentPanel(IGanttProject, UIFacade, TimelineChart)",0,0,14,14,"8,54%"
net.sourceforge.ganttproject.ChartTabContentPanel.addChartPanel(Component),0,0,3,3,"1,83%"
"net.sourceforge.ganttproject.ChartTabContentPanel.addTableResizeListeners(Component, Component)",0,0,30,30,"18,29%"
"net.sourceforge.ganttproject.ChartTabContentPanel.alignTopPanelHeights(JComponent, JComponent)",3,0,16,13,"9,76%"
net.sourceforge.ganttproject.ChartTabContentPanel.createButtonPanel(),0,n/a,n/a,1,"0,61%"
net.sourceforge.ganttproject.ChartTabContentPanel.createChartPanels(),0,0,8,8,"4,88%"
net.sourceforge.ganttproject.ChartTabContentPanel.createContentComponent(),2,0,62,60,"37,80%"
net.sourceforge.ganttproject.ChartTabContentPanel.getChartComponent(),0,n/a,n/a,1,"0,61%"
net.sourceforge.ganttproject.ChartTabContentPanel.getDividerLocation(),0,0,3,3,"1,83%"
net.sourceforge.ganttproject.ChartTabContentPanel.getTreeComponent(),0,n/a,n/a,1,"0,61%"
net.sourceforge.ganttproject.ChartTabContentPanel.getUiFacade(),0,0,3,3,"1,83%"
net.sourceforge.ganttproject.ChartTabContentPanel.setActive(boolean),0,0,6,6,"3,66%"
net.sourceforge.ganttproject.ChartTabContentPanel.setDividerLocation(int),0,0,3,3,"1,83%"
net.sourceforge.ganttproject.ChartTabContentPanel.updateTimelineHeight(),0,0,4,4,"2,44%"
net.sourceforge.ganttproject.CustomProperty.getDefinition(),0,n/a,n/a,1,"20,00%"
net.sourceforge.ganttproject.CustomProperty.getValue(),0,n/a,n/a,1,"20,00%"
net.sourceforge.ganttproject.CustomProperty.getValueAsString(),0,n/a,n/a,1,"20,00%"
"net.sourceforge.ganttproject.CustomPropertyClass.CustomPropertyClass(String, String, Class<?>)",0,0,5,5,"13,89%"
net.sourceforge.ganttproject.CustomPropertyClass.fromJavaClass(Class<?>),0,0,8,8,"22,22%"
net.sourceforge.ganttproject.CustomPropertyClass.getDefaultValueAsString(),0,0,3,3,"8,33%"
net.sourceforge.ganttproject.CustomPropertyClass.getDisplayName(),0,0,3,3,"8,33%"
net.sourceforge.ganttproject.CustomPropertyClass.getID(),0,0,3,3,"8,33%"
net.sourceforge.ganttproject.CustomPropertyClass.getJavaClass(),0,0,3,3,"8,33%"
net.sourceforge.ganttproject.CustomPropertyClass.toString(),0,0,4,4,"11,11%"
net.sourceforge.ganttproject.CustomPropertyDefinition.canSetPropertyClass(CustomPropertyClass),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getAttributes(),0,n/a,n/a,2,"11,76%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getDefaultValue(),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getDefaultValueAsString(),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getID(),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getName(),0,n/a,n/a,2,"11,76%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getPropertyClass(),0,n/a,n/a,2,"11,76%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getType(),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.getTypeAsString(),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.setDefaultValueAsString(String),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.setName(String),0,n/a,n/a,1,"5,88%"
net.sourceforge.ganttproject.CustomPropertyDefinition.setPropertyClass(CustomPropertyClass),0,n/a,n/a,1,"5,88%"
"net.sourceforge.ganttproject.CustomPropertyHolder.addCustomProperty(CustomPropertyDefinition, String)",0,n/a,n/a,1,"25,00%"
net.sourceforge.ganttproject.CustomPropertyHolder.getCustomProperties(),0,n/a,n/a,1,"25,00%"
net.sourceforge.ganttproject.CustomPropertyListener.customPropertyChange(CustomPropertyEvent),0,n/a,n/a,1,"33,33%"
"net.sourceforge.ganttproject.CustomPropertyManager.PropertyTypeEncoder.decodeTypeAndDefaultValue(String, String)",0,0,99,99,"85,34%"
net.sourceforge.ganttproject.CustomPropertyManager.PropertyTypeEncoder.encodeFieldType(Class<?>),0,0,15,15,"12,93%"
net.sourceforge.ganttproject.CustomPropertyManager.addListener(CustomPropertyListener),0,n/a,n/a,1,"0,79%"
"net.sourceforge.ganttproject.CustomPropertyManager.createDefinition(String, String, String)",0,n/a,n/a,1,"0,79%"
"net.sourceforge.ganttproject.CustomPropertyManager.createDefinition(String, String, String, String)",0,n/a,n/a,1,"0,79%"
net.sourceforge.ganttproject.CustomPropertyManager.deleteDefinition(CustomPropertyDefinition),0,n/a,n/a,1,"0,79%"
net.sourceforge.ganttproject.CustomPropertyManager.getCustomPropertyDefinition(String),0,n/a,n/a,1,"0,79%"
net.sourceforge.ganttproject.CustomPropertyManager.getDefinitions(),0,n/a,n/a,1,"0,79%"
net.sourceforge.ganttproject.CustomPropertyManager.importData(CustomPropertyManager),0,n/a,n/a,1,"0,79%"
net.sourceforge.ganttproject.CustomPropertyManager.reset(),0,n/a,n/a,1,"0,79%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.DefaultCustomPropertyDefinition(String),0,0,8,8,"8,25%"
"net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.DefaultCustomPropertyDefinition(String, String, CustomPropertyDefinition)",0,0,8,8,"8,25%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.canSetPropertyClass(CustomPropertyClass),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.equals(Object),0,0,11,11,"11,34%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getAttributes(),0,0,5,5,"5,15%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getDefaultValue(),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getDefaultValueAsString(),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getID(),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getName(),0,0,5,5,"5,15%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getPropertyClass(),0,0,5,5,"5,15%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getType(),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.getTypeAsString(),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.hashCode(),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.setDefaultValueAsString(String),0,0,7,7,"7,22%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.setName(String),0,0,4,4,"4,12%"
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition.setPropertyClass(CustomPropertyClass),0,0,7,7,"7,22%"
net.sourceforge.ganttproject.DesktopIntegration.isMacOs(),0,0,3,3,"6,38%"
net.sourceforge.ganttproject.DesktopIntegration.setup(GanttProject),0,0,39,39,"82,98%"
net.sourceforge.ganttproject.DialogBuilder.Commiter.commit(),0,0,3,3,"33,33%"
net.sourceforge.ganttproject.DialogBuilder.Commiter.isCommited(),0,0,3,3,"33,33%"
net.sourceforge.ganttproject.DialogBuilder.DialogBuilder(JFrame),0,0,3,3,"1,30%"
"net.sourceforge.ganttproject.DialogBuilder.DialogImpl.DialogImpl(JDialog, JFrame, NotificationManager)",0,0,5,5,"13,16%"
net.sourceforge.ganttproject.DialogBuilder.DialogImpl.center(Centering),0,0,4,4,"10,53%"
net.sourceforge.ganttproject.DialogBuilder.DialogImpl.hide(),0,0,8,8,"21,05%"
net.sourceforge.ganttproject.DialogBuilder.DialogImpl.layout(),0,0,4,4,"10,53%"
net.sourceforge.ganttproject.DialogBuilder.DialogImpl.setNotificationOwner(JButton),0,0,3,3,"7,89%"
net.sourceforge.ganttproject.DialogBuilder.DialogImpl.show(),0,0,6,6,"15,79%"
"net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl.NotificationViewImpl(JDialog, JButton)",0,0,10,10,"23,26%"
net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl.close(),0,0,8,8,"18,60%"
net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl.isReady(),0,0,4,4,"9,30%"
net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl.isVisible(),0,0,4,4,"9,30%"
"net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl.setComponent(JComponent, JComponent, Runnable)",0,0,8,8,"18,60%"
net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl.showBalloon(),0,0,3,3,"6,98%"
"net.sourceforge.ganttproject.DialogBuilder.createDialog(Component, Action[], String, NotificationManager)",15,11,129,110,"56,09%"
net.sourceforge.ganttproject.ErrorNotifier.ErrorNotifier(UIFacadeImpl),0,0,3,3,"14,29%"
net.sourceforge.ganttproject.ErrorNotifier.add(Throwable),0,0,3,3,"14,29%"
net.sourceforge.ganttproject.ErrorNotifier.run(),0,0,11,11,"52,38%"
"net.sourceforge.ganttproject.FacadeInvalidator.FacadeInvalidator(TreeModel, List<RowHeightAligner>)",0,0,5,5,"12,20%"
net.sourceforge.ganttproject.FacadeInvalidator.isValid(),0,0,3,3,"7,32%"
net.sourceforge.ganttproject.FacadeInvalidator.projectClosed(),0,0,4,4,"9,76%"
net.sourceforge.ganttproject.FacadeInvalidator.projectOpened(),0,0,6,6,"14,63%"
net.sourceforge.ganttproject.FacadeInvalidator.reset(),0,0,3,3,"7,32%"
net.sourceforge.ganttproject.FacadeInvalidator.treeNodesChanged(TreeModelEvent),0,0,4,4,"9,76%"
net.sourceforge.ganttproject.FacadeInvalidator.treeNodesInserted(TreeModelEvent),0,0,4,4,"9,76%"
net.sourceforge.ganttproject.FacadeInvalidator.treeNodesRemoved(TreeModelEvent),0,0,4,4,"9,76%"
net.sourceforge.ganttproject.FacadeInvalidator.treeStructureChanged(TreeModelEvent),0,0,4,4,"9,76%"
net.sourceforge.ganttproject.GPLogger.close(),0,0,3,3,"2,14%"
"net.sourceforge.ganttproject.GPLogger.debug(Logger, String, Object...)",0,0,5,5,"3,57%"
net.sourceforge.ganttproject.GPLogger.getLogger(Class<?>),0,0,3,3,"2,14%"
net.sourceforge.ganttproject.GPLogger.getLogger(Object),0,0,4,4,"2,86%"
net.sourceforge.ganttproject.GPLogger.getLogger(String),0,0,9,9,"6,43%"
net.sourceforge.ganttproject.GPLogger.log(String),0,0,3,3,"2,14%"
net.sourceforge.ganttproject.GPLogger.log(Throwable),1,0,14,13,"10,00%"
net.sourceforge.ganttproject.GPLogger.logSystemInformation(),1,0,18,17,"12,86%"
net.sourceforge.ganttproject.GPLogger.logToLogger(String),0,0,7,7,"5,00%"
net.sourceforge.ganttproject.GPLogger.logToLogger(Throwable),0,0,7,7,"5,00%"
net.sourceforge.ganttproject.GPLogger.readConfiguration(URL),0,0,4,4,"2,86%"
net.sourceforge.ganttproject.GPLogger.readLog(),0,0,30,30,"21,43%"
net.sourceforge.ganttproject.GPLogger.setLogFile(String),0,0,14,14,"10,00%"
net.sourceforge.ganttproject.GPLogger.setUIFacade(UIFacade),0,0,3,3,"2,14%"
net.sourceforge.ganttproject.GPTransferable.GPTransferable(ClipboardContents),0,0,3,3,"4,05%"
net.sourceforge.ganttproject.GPTransferable.createDocumentFlavor(),4,0,24,20,"32,43%"
net.sourceforge.ganttproject.GPTransferable.createTextFlavor(),0,0,7,7,"9,46%"
net.sourceforge.ganttproject.GPTransferable.getTransferData(DataFlavor),0,0,13,13,"17,57%"
net.sourceforge.ganttproject.GPTransferable.getTransferDataFlavors(),0,0,4,4,"5,41%"
net.sourceforge.ganttproject.GPTransferable.isDataFlavorSupported(DataFlavor),0,0,4,4,"5,41%"
"net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.ColumnImpl(JXTreeTable, TableColumnExt, Column)",0,0,5,5,"7,14%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getHeaderFitDimension(),0,0,3,3,"4,29%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getID(),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getName(),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getOrder(),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getSort(),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getStub(),0,0,3,3,"4,29%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getTableColumnExt(),0,0,3,3,"4,29%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getTableModel(),0,0,3,3,"4,29%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.getWidth(),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.isVisible(),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.setName(String),0,0,3,3,"4,29%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.setOrder(int),0,0,3,3,"4,29%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.setSort(SortOrder),0,0,4,4,"5,71%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.setVisible(boolean),0,0,8,8,"11,43%"
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl.setWidth(int),0,0,5,5,"7,14%"
"net.sourceforge.ganttproject.GPTreeTableBase.GPTreeTableBase(IGanttProject, UIFacade, CustomPropertyManager, DefaultTreeTableModel)",0,0,29,29,"3,03%"
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener.HeaderMouseListener(CustomPropertyManager),0,0,3,3,"3,45%"
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener.createPopupActions(MouseEvent),0,0,63,63,"72,41%"
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener.handlePopupTrigger(MouseEvent),0,0,6,6,"6,90%"
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener.mousePressed(MouseEvent),2,4,8,4,"9,20%"
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener.mouseReleased(MouseEvent),0,0,4,4,"4,60%"
"net.sourceforge.ganttproject.GPTreeTableBase.SortTableHeaderRenderer.SortTableHeaderRenderer(JTable, Function<Integer, ColumnImpl>)",0,0,6,6,"18,75%"
"net.sourceforge.ganttproject.GPTreeTableBase.SortTableHeaderRenderer.getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int)",0,0,20,20,"62,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.TableHeaderUiFacadeImpl(),0,0,10,10,"5,00%"
"net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.add(String, int, int)",0,0,22,22,"11,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.clear(),3,0,15,12,"7,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.clearUiColumns(),0,0,6,6,"3,00%"
"net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.createColumn(int, Column)",0,0,8,8,"4,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.createDefaultColumns(List<Column>),0,0,6,6,"3,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.createStub(Column),0,0,4,4,"2,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.deleteColumn(CustomPropertyDefinition),0,0,13,13,"6,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.findColumnByID(String),0,0,8,8,"4,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.findColumnByViewIndex(int),0,0,8,8,"4,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.getColumns(),0,0,3,3,"1,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.getField(int),0,0,4,4,"2,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.getModelIndex(Column),0,0,14,14,"7,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.getSize(),0,0,4,4,"2,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.importColumnList(ColumnList),0,0,19,19,"9,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.importData(ColumnList),1,0,33,32,"16,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.insertColumnIntoUi(ColumnImpl),0,0,4,4,"2,00%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.renameColumn(CustomPropertyDefinition),0,0,7,7,"3,50%"
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl.updateType(CustomPropertyDefinition),0,0,8,8,"4,00%"
"net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener.VscrollAdjustmentListener(TimelineChart, boolean)",0,0,4,4,"12,90%"
net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener.adjustmentValueChanged(AdjustmentEvent),0,0,12,12,"38,71%"
net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener.getChart(),0,0,3,3,"9,68%"
net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener.isScrollable(),0,0,4,4,"12,90%"
net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener.scrollBy(int),0,0,4,4,"12,90%"
"net.sourceforge.ganttproject.GPTreeTableBase.addAction(Action, KeyStroke)",3,3,10,7,"1,05%"
net.sourceforge.ganttproject.GPTreeTableBase.addActionWithAccelleratorKey(GPAction),3,3,10,7,"1,05%"
net.sourceforge.ganttproject.GPTreeTableBase.addNewCustomColumn(CustomColumn),0,0,5,5,"0,52%"
net.sourceforge.ganttproject.GPTreeTableBase.applyComponentOrientation(ComponentOrientation),0,0,4,4,"0,42%"
net.sourceforge.ganttproject.GPTreeTableBase.autoFitColumnWidth(ColumnImpl),0,0,6,6,"0,63%"
net.sourceforge.ganttproject.GPTreeTableBase.autoFitColumns(),4,0,23,19,"2,41%"
net.sourceforge.ganttproject.GPTreeTableBase.createCellEditor(Class<?>),0,0,5,5,"0,52%"
net.sourceforge.ganttproject.GPTreeTableBase.createCellRenderer(Class<?>),6,0,9,3,"0,94%"
net.sourceforge.ganttproject.GPTreeTableBase.createDefaultEditors(),0,0,25,25,"2,62%"
net.sourceforge.ganttproject.GPTreeTableBase.customPropertyChange(CustomPropertyEvent),0,0,18,18,"1,88%"
net.sourceforge.ganttproject.GPTreeTableBase.deleteCustomColumn(CustomColumn),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.doInit(),1,0,79,78,"8,26%"
"net.sourceforge.ganttproject.GPTreeTableBase.editCellAt(int, int, EventObject)",11,0,56,45,"5,86%"
net.sourceforge.ganttproject.GPTreeTableBase.editingStopped(ChangeEvent),2,0,7,5,"0,73%"
"net.sourceforge.ganttproject.GPTreeTableBase.getCellEditor(int, int)",0,0,11,11,"1,15%"
net.sourceforge.ganttproject.GPTreeTableBase.getChart(),0,n/a,n/a,1,"0,10%"
net.sourceforge.ganttproject.GPTreeTableBase.getDefaultColumns(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getHorizontalScrollBar(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getManageColumnsAction(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getProject(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getScrollPane(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getTable(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getTableHeaderUiFacade(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getToolTipText(MouseEvent),0,0,14,14,"1,46%"
net.sourceforge.ganttproject.GPTreeTableBase.getTree(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getTreeTable(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getVerticalScrollBar(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.getVisibleFields(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.initTreeTable(),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.insertWithLeftyScrollBar(JComponent),0,0,4,4,"0,42%"
"net.sourceforge.ganttproject.GPTreeTableBase.isStartEditingEvent(KeyEvent, boolean)",0,0,9,9,"0,94%"
net.sourceforge.ganttproject.GPTreeTableBase.newTableColumnExt(int),0,0,15,15,"1,57%"
net.sourceforge.ganttproject.GPTreeTableBase.onCellSelectionChanged(),0,0,8,8,"0,84%"
net.sourceforge.ganttproject.GPTreeTableBase.onProjectCreated(),0,0,4,4,"0,42%"
net.sourceforge.ganttproject.GPTreeTableBase.onProjectOpened(),0,0,2,2,"0,21%"
"net.sourceforge.ganttproject.GPTreeTableBase.prepareEditor(TableCellEditor, int, int)",0,0,21,21,"2,20%"
"net.sourceforge.ganttproject.GPTreeTableBase.processKeyBinding(KeyStroke, KeyEvent, int, boolean)",6,0,22,16,"2,30%"
net.sourceforge.ganttproject.GPTreeTableBase.processMouseEvent(MouseEvent),1,0,8,7,"0,84%"
net.sourceforge.ganttproject.GPTreeTableBase.setNewRowAction(GPAction),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.setRowPropertiesAction(GPAction),0,0,3,3,"0,31%"
net.sourceforge.ganttproject.GPTreeTableBase.setupActionMaps(GPAction...),0,0,5,5,"0,52%"
net.sourceforge.ganttproject.GPTreeTableBase.wrapEditor(TableCellEditor),0,0,3,3,"0,31%"
"net.sourceforge.ganttproject.GPTreeTransferHandler.GPTreeTransferHandler(GPTreeTableBase, TaskManager, Supplier<GanttChart>, GPUndoManager)",0,0,6,6,"7,32%"
net.sourceforge.ganttproject.GPTreeTransferHandler.canImport(TransferSupport),1,0,20,19,"24,39%"
net.sourceforge.ganttproject.GPTreeTransferHandler.createTransferable(JComponent),0,0,9,9,"10,98%"
net.sourceforge.ganttproject.GPTreeTransferHandler.getSourceActions(JComponent),0,0,4,4,"4,88%"
net.sourceforge.ganttproject.GPTreeTransferHandler.importData(TransferSupport),0,0,32,32,"39,02%"
net.sourceforge.ganttproject.GPVersion.getCurrentBuildNumber(),0,0,8,8,"16,67%"
net.sourceforge.ganttproject.GPVersion.getCurrentVersionNumber(),0,0,3,3,"6,25%"
"net.sourceforge.ganttproject.GanttChartTabContentPanel.GanttChartTabContentPanel(IGanttProject, UIFacade, TreeTableContainer, JComponent, UIConfiguration)",1,0,13,12,"15,12%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.createButtonPanel(),0,0,16,16,"18,60%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.createSchedulePanel(),0,0,17,17,"19,77%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.getChart(),0,0,4,4,"4,65%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.getChartComponent(),0,0,4,4,"4,65%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.getComponent(),0,0,6,6,"6,98%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.getTreeComponent(),1,0,4,4,"4,65%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.getViewComponent(),0,0,4,4,"4,65%"
net.sourceforge.ganttproject.GanttChartTabContentPanel.setActive(boolean),2,0,9,7,"10,47%"
net.sourceforge.ganttproject.GanttExportSettings.GanttExportSettings(),0,0,4,4,"4,49%"
"net.sourceforge.ganttproject.GanttExportSettings.GanttExportSettings(boolean, boolean, boolean, boolean)",0,0,8,8,"8,99%"
net.sourceforge.ganttproject.GanttExportSettings.getEndDate(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.getLogo(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.getRowCount(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.getStartDate(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.getVisibleTasks(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.getWidth(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.getZoomLevel(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.isCommandLineMode(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.isExpanded(HumanResource),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.isOnlySelectedItem(),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setCommandLineMode(boolean),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setEndDate(Date),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setExpandedResources(String),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setLogo(Image),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setOnlySelectedItem(boolean),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setRowCount(int),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setStartDate(Date),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setVisibleTasks(List<Task>),0,0,6,6,"6,74%"
net.sourceforge.ganttproject.GanttExportSettings.setWidth(int),0,0,3,3,"3,37%"
net.sourceforge.ganttproject.GanttExportSettings.setZoomLevel(ZoomState),0,0,3,3,"3,37%"
"net.sourceforge.ganttproject.GanttGraphicArea.GanttGraphicArea(GanttProject, GanttTree2, TaskManager, ZoomManager, GPUndoManager)",0,0,47,47,"17,60%"
net.sourceforge.ganttproject.GanttGraphicArea.MouseSupport.MouseSupport(ChartModelImpl),0,0,3,3,"21,43%"
"net.sourceforge.ganttproject.GanttGraphicArea.MouseSupport.findTaskUnderMousePointer(int, int)",0,0,4,4,"28,57%"
"net.sourceforge.ganttproject.GanttGraphicArea.MouseSupport.getChartItemUnderMousePoint(int, int)",0,0,4,4,"28,57%"
"net.sourceforge.ganttproject.GanttGraphicArea.createBaselineColorOptions(ChartModelImpl, UIConfiguration)",3,0,28,25,"10,49%"
net.sourceforge.ganttproject.GanttGraphicArea.createToggleHolidayAction(int),0,0,29,29,"10,86%"
net.sourceforge.ganttproject.GanttGraphicArea.customPropertyChange(CustomPropertyEvent),0,0,4,4,"1,50%"
net.sourceforge.ganttproject.GanttGraphicArea.getBaseline(),0,0,4,4,"1,50%"
net.sourceforge.ganttproject.GanttGraphicArea.getBaselineColorOptions(),0,0,4,4,"1,50%"
net.sourceforge.ganttproject.GanttGraphicArea.getChart(GanttExportSettings),2,1,10,8,"3,75%"
net.sourceforge.ganttproject.GanttGraphicArea.getChartImplementation(),0,0,7,7,"2,62%"
net.sourceforge.ganttproject.GanttGraphicArea.getChartModel(),0,0,4,4,"1,50%"
